name,position,points,
"Chase Ford, Min TE  P",TE,28,326
"Levine Toilolo, Atl TE",TE,28,327
"Austin Seferian-Jenkins, TB TE",TE,28,328
"Leon Washington, Ten RB",RB,27,329
"Fozzy Whittaker, Car RB",RB,27,330
"Cooper Helfet, Sea TE  P",TE,27,331
"Travaris Cadet, NE RB  P",RB,26,332
"Jim Dray, Cle TE",TE,26,333
"Eric Ebron, Det TE  P",TE,26,334
"Rhett Ellison, Min TE",TE,24,335
"Garrett Graham, Hou TE",TE,23,336
"Benjamin Watson, NO TE",TE,20,337
"Jay Feely, FA K",K,14,338
"Garrett Hartley*, Pit K  IR",K,12,339
"Nate Freese, FA K",K,11,340
"Alex Henery, FA K",K,6,341
